DATE,CES2000000003
2006-03-01,21.85
2006-04-01,22.05
2006-05-01,22.03
2006-06-01,22.21
2006-07-01,22.29
2006-08-01,22.25
2006-09-01,22.41
2006-10-01,22.53
2006-11-01,22.50
2006-12-01,22.51
2007-01-01,22.59
2007-02-01,22.66
2007-03-01,22.72
2007-04-01,22.83
2007-05-01,22.98
2007-06-01,23.02
2007-07-01,23.10
2007-08-01,23.13
2007-09-01,23.21
2007-10-01,23.18
2007-11-01,23.32
2007-12-01,23.43
2008-01-01,23.42
2008-02-01,23.51
2008-03-01,23.58
2008-04-01,23.63
2008-05-01,23.82
2008-06-01,23.89
2008-07-01,23.98
2008-08-01,24.21
2008-09-01,24.23
2008-10-01,24.25
2008-11-01,24.41
2008-12-01,24.56
2009-01-01,24.56
2009-02-01,24.60
2009-03-01,24.76
2009-04-01,24.80
2009-05-01,24.77
2009-06-01,24.85
2009-07-01,24.85
2009-08-01,24.89
2009-09-01,24.88
2009-10-01,25.01
2009-11-01,25.03
2009-12-01,24.99
2010-01-01,25.12
2010-02-01,25.25
2010-03-01,25.17
2010-04-01,25.10
2010-05-01,25.15
2010-06-01,25.12
2010-07-01,25.17
2010-08-01,25.17
2010-09-01,25.19
2010-10-01,25.31
2010-11-01,25.31
2010-12-01,25.35
2011-01-01,25.46
2011-02-01,25.44
2011-03-01,25.34
2011-04-01,25.38
2011-05-01,25.35
2011-06-01,25.35
2011-07-01,25.36
2011-08-01,25.46
2011-09-01,25.49
2011-10-01,25.49
2011-11-01,25.44
2011-12-01,25.49
2012-01-01,25.50
2012-02-01,25.55
2012-03-01,25.66
2012-04-01,25.65
2012-05-01,25.69
2012-06-01,25.71
2012-07-01,25.75
2012-08-01,25.77
2012-09-01,25.86
2012-10-01,25.84
2012-11-01,25.95
2012-12-01,25.95
2013-01-01,25.96
2013-02-01,26.03
2013-03-01,25.98
2013-04-01,26.03
2013-05-01,26.04
2013-06-01,26.09
2013-07-01,26.17
2013-08-01,26.19
2013-09-01,26.17
2013-10-01,26.18
2013-11-01,26.25
2013-12-01,26.38
2014-01-01,26.41
2014-02-01,26.76
2014-03-01,26.48
2014-04-01,26.56
2014-05-01,26.61
2014-06-01,26.67
2014-07-01,26.66
2014-08-01,26.73
2014-09-01,26.81
2014-10-01,26.86
2014-11-01,26.92
2014-12-01,26.87
2015-01-01,27.07
2015-02-01,27.12
2015-03-01,27.24
2015-04-01,27.28
2015-05-01,27.32
2015-06-01,27.34
2015-07-01,27.36
2015-08-01,27.44
2015-09-01,27.35
2015-10-01,27.52
2015-11-01,27.67
2015-12-01,27.62
2016-01-01,27.66
2016-02-01,27.75
2016-03-01,27.87
2016-04-01,27.97
2016-05-01,28.08
2016-06-01,28.12
2016-07-01,28.20
2016-08-01,28.20
2016-09-01,28.21
2016-10-01,28.42
2016-11-01,28.35
2016-12-01,28.43
2017-01-01,28.55
2017-02-01,28.50
2017-03-01,28.64
2017-04-01,28.59
2017-05-01,28.73
2017-06-01,28.90
2017-07-01,28.95
2017-08-01,28.97
2017-09-01,29.13
2017-10-01,29.11
2017-11-01,29.21
2017-12-01,29.29
2018-01-01,29.38
2018-02-01,29.53
2018-03-01,29.51
2018-04-01,29.65
2018-05-01,29.70
2018-06-01,29.75
2018-07-01,29.93
2018-08-01,30.01
2018-09-01,30.20
2018-10-01,30.24
2018-11-01,30.28
2018-12-01,30.47
2019-01-01,30.32
2019-02-01,30.42
2019-03-01,30.53
2019-04-01,30.64
2019-05-01,30.70
2019-06-01,30.72
2019-07-01,30.71
2019-08-01,30.86
2019-09-01,30.90
2019-10-01,30.99
2019-11-01,31.14
2019-12-01,31.19
2020-01-01,31.23
2020-02-01,31.40
2020-03-01,31.40
2020-04-01,31.34
2020-05-01,31.44
2020-06-01,31.60
2020-07-01,31.74
2020-08-01,31.83
2020-09-01,31.81
2020-10-01,31.85
2020-11-01,32.00
2020-12-01,32.08
2021-01-01,32.19
2021-02-01,32.29
2021-03-01,32.24
2021-04-01,32.55
2021-05-01,32.71
2021-06-01,32.82
2021-07-01,32.94
2021-08-01,33.08
2021-09-01,33.23
2021-10-01,33.39
2021-11-01,33.45
2021-12-01,33.64
2022-01-01,33.89
2022-02-01,33.97
2022-03-01,34.14
2022-04-01,34.33
2022-05-01,34.53
2022-06-01,34.67
2022-07-01,34.78
2022-08-01,34.91
2022-09-01,35.05
2022-10-01,35.25
2022-11-01,35.43
2022-12-01,35.60
2023-01-01,35.75
